theta		    theta dt
-3.1415927410125732 -8.0 act: -2
-3.1415927410125732 -6.0 act: 2
-3.1415927410125732 -4.0 act: 2
-3.1415927410125732 -2.0 act: -2
-3.1415927410125732 0.0 act: -2
-3.1415927410125732 2.0 act: 2
-3.1415927410125732 4.0 act: 2
-3.1415927410125732 6.0 act: -2
-3.1415927410125732 8.0 act: -2
-2.5132741928100586 -8.0 act: -2
-2.5132741928100586 -6.0 act: -2
-2.5132741928100586 -4.0 act: 2
-2.5132741928100586 -2.0 act: -2
-2.5132741928100586 0.0 act: -2
-2.5132741928100586 2.0 act: -2
-2.5132741928100586 4.0 act: -2
-2.5132741928100586 6.0 act: 2
-2.5132741928100586 8.0 act: -2
-1.884955644607544 -8.0 act: -2
-1.884955644607544 -6.0 act: 2
-1.884955644607544 -4.0 act: 2
-1.884955644607544 -2.0 act: -2
-1.884955644607544 0.0 act: 2
-1.884955644607544 2.0 act: -2
-1.884955644607544 4.0 act: 2
-1.884955644607544 6.0 act: 2
-1.884955644607544 8.0 act: 2
-1.2566370964050293 -8.0 act: -2
-1.2566370964050293 -6.0 act: -2
-1.2566370964050293 -4.0 act: -2
-1.2566370964050293 -2.0 act: -2
-1.2566370964050293 0.0 act: -2
-1.2566370964050293 2.0 act: -2
-1.2566370964050293 4.0 act: 2
-1.2566370964050293 6.0 act: -2
-1.2566370964050293 8.0 act: 2
-0.6283185482025146 -8.0 act: -2
-0.6283185482025146 -6.0 act: -2
-0.6283185482025146 -4.0 act: -2
-0.6283185482025146 -2.0 act: -2
-0.6283185482025146 0.0 act: -2
-0.6283185482025146 2.0 act: -2
-0.6283185482025146 4.0 act: -2
-0.6283185482025146 6.0 act: 2
-0.6283185482025146 8.0 act: 2
0.0 -8.0 act: -2
0.0 -6.0 act: -2
0.0 -4.0 act: -2
0.0 -2.0 act: 2
0.0 0.0 act: 2
0.0 2.0 act: -2
0.0 4.0 act: 2
0.0 6.0 act: 2
0.0 8.0 act: 2
0.6283185482025146 -8.0 act: 2
0.6283185482025146 -6.0 act: -2
0.6283185482025146 -4.0 act: -2
0.6283185482025146 -2.0 act: 2
0.6283185482025146 0.0 act: 2
0.6283185482025146 2.0 act: -2
0.6283185482025146 4.0 act: 2
0.6283185482025146 6.0 act: 2
0.6283185482025146 8.0 act: -2
1.2566370964050293 -8.0 act: 2
1.2566370964050293 -6.0 act: -2
1.2566370964050293 -4.0 act: -2
1.2566370964050293 -2.0 act: -2
1.2566370964050293 0.0 act: -2
1.2566370964050293 2.0 act: 2
1.2566370964050293 4.0 act: -2
1.2566370964050293 6.0 act: 2
1.2566370964050293 8.0 act: -2
1.884955644607544 -8.0 act: 2
1.884955644607544 -6.0 act: -2
1.884955644607544 -4.0 act: -2
1.884955644607544 -2.0 act: -2
1.884955644607544 0.0 act: 2
1.884955644607544 2.0 act: -2
1.884955644607544 4.0 act: -2
1.884955644607544 6.0 act: 2
1.884955644607544 8.0 act: 2
2.5132741928100586 -8.0 act: 2
2.5132741928100586 -6.0 act: -2
2.5132741928100586 -4.0 act: -2
2.5132741928100586 -2.0 act: 2
2.5132741928100586 0.0 act: 2
2.5132741928100586 2.0 act: 2
2.5132741928100586 4.0 act: -2
2.5132741928100586 6.0 act: 2
2.5132741928100586 8.0 act: -2
3.1415927410125732 -8.0 act: -2
3.1415927410125732 -6.0 act: -2
3.1415927410125732 -4.0 act: 2
3.1415927410125732 -2.0 act: -2
3.1415927410125732 0.0 act: -2
3.1415927410125732 2.0 act: -2
3.1415927410125732 4.0 act: -2
3.1415927410125732 6.0 act: 2
3.1415927410125732 8.0 act: 2
